UUID,session,bill_number
WI2001A10,2001,AB10
WI2001A11,2001,AB11
WI2001A12,2001,AB12
WI2001A144,2001,AB144
WI2001A158,2001,AB158
WI2001A188,2001,AB188
WI2001A259,2001,AB259
WI2001A309,2001,AB309
WI2001A339,2001,AB339
WI2001A373,2001,AB373
WI2001A38,2001,AB38
WI2001A39,2001,AB39
WI2001A40,2001,AB40
WI2001A41,2001,AB41
WI2001A49,2001,AB49
WI2001A548,2001,AB548
WI2001A589,2001,AB589
WI2001A641,2001,AB641
WI2001AJR14,2001,AJR14
WI2001S110,2001,SB110
WI2001S127,2001,SB127
WI2001S205,2001,SB205
WI2001S55,2001,SB55
WI2002A10,2001,AB10
WI2002A11,2001,AB11
WI2002A12,2001,AB12
WI2002A144,2001,AB144
WI2002A158,2001,AB158
WI2002A188,2001,AB188
WI2002A259,2001,AB259
WI2002A309,2001,AB309
WI2002A339,2001,AB339
WI2002A373,2001,AB373
WI2002A38,2001,AB38
WI2002A39,2001,AB39
WI2002A40,2001,AB40
WI2002A41,2001,AB41
WI2002A49,2001,AB49
WI2002A548,2001,AB548
WI2002A589,2001,AB589
WI2002A641,2001,AB641
WI2002A710,2001,AB710
WI2002A765,2001,AB765
WI2002A826,2001,AB826
WI2002AJR14,2001,AJR14
WI2002S110,2001,SB110
WI2002S127,2001,SB127
WI2002S205,2001,SB205
WI2002S477,2001,SB477
WI2003A111,2003,AB111
WI2003A112,2003,AB112
WI2003A113,2003,AB113
WI2003A114,2003,AB114
WI2003A115,2003,AB115
WI2003A120,2003,AB120
WI2003A121,2003,AB121
WI2003A172,2003,AB172
WI2003A175,2003,AB175
WI2003A190,2003,AB190
WI2003A310,2003,AB310
WI2003A47,2003,AB47
WI2003A518,2003,AB518
WI2003A600,2003,AB600
WI2003A680,2003,AB680
WI2003S18,2003,SB18
WI2003S59,2003,SB59
WI2003S68,2003,SB68
WI2003S76,2003,SB76
WI2003S81,2003,SB81
WI2004A113,2003,AB113
WI2004A114,2003,AB114
WI2004A115,2003,AB115
WI2004A120,2003,AB120
WI2004A172,2003,AB172
WI2004A175,2003,AB175
WI2004A190,2003,AB190
WI2004A310,2003,AB310
WI2004A47,2003,AB47
WI2004A518,2003,AB518
WI2004A600,2003,AB600
WI2004A680,2003,AB680
WI2004A849,2003,AB849
WI2004S18,2003,SB18
WI2004S59,2003,SB59
WI2004S68,2003,SB68
WI2004S76,2003,SB76
WI2004S81,2003,SB81
WI2005A196,2005,AB196
WI2005A377,2005,AB377
WI2005A513,2005,AB513
WI2005A542,2005,AB542
WI2005A61,2005,AB61
WI2005A627,2005,AB627
WI2005A63,2005,AB63
WI2005A64,2005,AB64
WI2005A707,2005,AB707
WI2005A782,2005,AB782
WI2005A808,2005,AB808
WI2005A888,2005,AB888
WI2005AJR36,2005,AJR36
WI2005S1,2005,SB1
WI2005S100,2005,SB100
WI2005S119,2005,SB119
WI2005S249,2005,SB249
WI2005S296,2005,SB296
WI2005S341,2005,SB341
WI2005S355,2005,SB355
WI2005S396,2005,SB396
WI2005S419,2005,SB419
WI2005S42,2005,SB42
WI2005S468,2005,SB468
WI2006A1059,2005,AB1059
WI2006A196,2005,AB196
WI2006A377,2005,AB377
WI2006A513,2005,AB513
WI2006A542,2005,AB542
WI2006A627,2005,AB627
WI2006A64,2005,AB64
WI2006A707,2005,AB707
WI2006A782,2005,AB782
WI2006A808,2005,AB808
WI2006A888,2005,AB888
WI2006AJR36,2005,AJR36
WI2006S1,2005,SB1
WI2006S100,2005,SB100
WI2006S119,2005,SB119
WI2006S249,2005,SB249
WI2006S296,2005,SB296
WI2006S341,2005,SB341
WI2006S355,2005,SB355
WI2006S396,2005,SB396
WI2006S419,2005,SB419
WI2006S468,2005,SB468
WI2006S564,2005,SB564
WI2006S612,2005,SB612
WI2006S634,2005,SB634
WI2006S635,2005,SB635
WI2007A126,2007,AB126
WI2007A158,2007,AB158
WI2007A295,2007,AB295
WI2007A313,2007,AB313
WI2007A390,2007,AB390
WI2007A530,2007,AB530
WI2007A539,2007,AB539
WI2007A587,2007,AB587
WI2007A589,2007,AB589
WI2007A630,2007,AB630
WI2007AJR17,2007,AJR17
WI2007AJR81,2007,AJR81
WI2007S200,2007,SB200
WI2007S6,2007,SB6
WI2008A126,2007,AB126
WI2008A158,2007,AB158
WI2008A295,2007,AB295
WI2008A313,2007,AB313
WI2008A390,2007,AB390
WI2008A530,2007,AB530
WI2008A549,2007,AB549
WI2008A587,2007,AB587
WI2008A589,2007,AB589
WI2008A630,2007,AB630
WI2008A903,2007,AB903
