year,state_bill_number,state_bill_id
2001,HB 1001,15842
2001,HB 1002,15887
2001,HB 1003,15873
2001,HB 1004,15892
2001,HB 1005,15879
2001,HB 1006,15847
2001,HB 1007,15849
2001,HB 1008,15895
2001,HB 1009,15901
2001,HB 1010,15900
2001,HB 1011,15902
2001,HB 1012,16111
2001,HB 1013,16113
2001,HB 1014,16075
2001,HB 1015,16170
2001,HB 1016,16079
2001,HB 1017,16048
2001,HB 1018,16049
2001,HB 1019,16055
2001,HB 1020,16056
2001,HB 1021,16057
2001,HB 1022,16172
2001,HB 1023,16069
2001,HB 1024,16067
2001,HB 1025,16123
2001,HB 1026,16122
2001,HB 1027,16120
2001,HB 1028,16116
2001,HB 1029,16117
2001,HB 1030,16118
2001,HB 1031,16164
2001,HB 1032,16152
2001,HB 1033,16131
2001,HB 1034,16134
2001,HB 1035,16138
2001,HB 1036,16148
2001,HB 1037,16146
2001,HB 1038,16150
2001,HB 1039,16140
2001,HB 1040,16142
2001,HB 1041,16141
2001,HB 1042,16144
2001,HB 1043,16167
2001,HB 1044,16103
2001,HB 1045,16107
2001,HB 1046,16166
2001,HB 1047,16108
2001,HB 1048,16106
2001,HB 1049,16158
2001,HB 1050,16157
2001,HB 1051,16179
2001,HB 1052,16163
2001,HB 1053,16161
2001,HB 1054,16160
2001,HB 1055,16037
2001,HB 1056,16046
2001,HB 1057,16033
2001,HB 1058,16029
2001,HB 1059,16025
2001,HB 1060,16027
2001,HB 1061,16028
2001,HB 1062,16030
2001,HB 1063,16031
2001,HB 1064,16032
2001,HB 1065,16034
2001,HB 1066,16098
2001,HB 1067,16096
2001,HB 1068,16077
2001,HB 1069,16065
2001,HB 1070,16124
2001,HB 1071,15944
2001,HB 1072,15945
2001,HB 1073,15946
2001,HB 1074,16100
2001,HB 1075,16013
2001,HB 1076,16016
2001,HB 1077,16017
2001,HB 1078,16018
2001,HB 1079,16015
2001,HB 1080,16275
2001,HB 1081,15943
2001,HB 1082,15998
2001,HB 1083,16318
2001,HB 1084,15950
2001,HB 1085,16250
2001,HB 1086,16280
2001,HB 1087,15969
2001,HB 1088,16171
2001,HB 1089,16341
2001,HB 1090,16244
2001,HB 1091,16050
2001,HB 1092,16011
2001,HB 1093,16287
2001,HB 1094,16288
2001,HB 1095,15907
2001,HB 1096,16294
2001,HB 1097,16189
2001,HB 1098,16176
2001,HB 1099,15971
2001,HB 1100,16227
2001,HB 1101,16228
2001,HB 1102,16234
2001,HB 1103,16220
2001,HB 1104,16304
2001,HB 1105,16305
2001,HB 1106,16289
2001,HB 1107,16338
2001,HB 1108,16088
2001,HB 1109,16301
2001,HB 1110,16298
2001,HB 1111,16392
2001,HB 1112,16325
2001,HB 1113,16324
2001,HB 1114,15947
2001,HB 1115,16393
2001,HB 1116,16072
2001,HB 1117,16409
2001,HB 1118,16293
2001,HB 1119,16331
2001,HB 1120,16426
2001,HB 1121,16362
2001,HB 1122,15967
2001,HB 1123,16416
2001,HB 1124,16099
2001,HB 1125,16252
2001,HB 1126,16358
2001,HB 1127,15964
2001,HB 1128,16012
2001,HB 1129,15938
2001,HB 1130,15939
2001,HB 1131,16095
2001,HB 1132,16259
2001,HB 1133,16464
2001,HB 1134,16019
2001,HB 1135,15930
2001,HB 1136,15903
2001,HB 1137,15937
2001,HB 1138,16363
2001,HB 1139,16190
2001,HB 1140,16395
2001,HB 1141,16292
2001,HB 1142,16051
2001,HB 1143,16052
2001,HB 1144,16089
2001,HB 1145,16417
2001,HB 1146,16468
2001,HB 1147,16114
2001,HB 1148,16040
2001,HB 1149,16169
2001,HB 1150,16487
2001,HB 1151,16256
2001,HB 1152,16257
2001,HB 1153,16371
2001,HB 1154,16404
2001,HB 1155,16420
2001,HB 1156,16486
2001,HB 1157,16350
2001,HB 1158,16335
2001,HB 1159,16435
2001,HB 1160,16511
2001,HB 1161,15934
2001,HB 1162,16200
2001,HB 1163,16455
2001,HB 1164,15918
2001,HB 1165,16539
2001,HB 1166,15940
2001,HB 1167,16193
2001,HB 1168,16314
2001,HB 1169,16043
2001,HB 1170,16044
2001,HB 1171,16104
2001,HB 1172,16361
2001,HB 1173,16368
2001,HB 1174,16240
2001,HB 1175,16339
2001,HB 1176,16491
2001,HB 1177,16446
2001,HB 1178,16419
2001,HB 1179,16415
2001,HB 1180,16473
2001,HB 1181,16300
2001,HB 1182,16489
2001,HB 1183,16367
2001,HB 1184,16578
2001,HB 1185,16094
2001,HB 1186,16461
2001,HB 1187,16564
2001,HB 1188,16448
2001,HB 1189,16546
2001,HB 1190,16081
2001,HB 1191,16516
2001,HB 1192,15984
2001,HB 1193,16557
2001,HB 1194,16577
2001,HB 1195,16385
2001,HB 1196,16547
2001,HB 1197,15960
2001,HB 1198,16347
2001,HB 1199,15904
2001,HB 1200,15973
2001,HB 1201,16264
2001,HB 1202,16359
2001,HB 1203,16406
2001,HB 1204,16526
2001,HB 1205,16481
2001,HB 1206,16334
2001,HB 1207,16090
2001,HB 1208,16563
2001,HB 1209,16501
2001,HB 1210,16523
2001,HB 1211,16484
2001,HB 1212,16545
2001,HB 1213,16447
2001,HB 1214,16567
2001,HB 1215,16211
2001,HB 1216,16212
2001,HB 1217,15992
2001,HB 1218,16584
2001,HB 1219,16570
2001,HB 1220,16520
2001,HB 1221,16091
2001,HB 1222,16506
2001,HB 1223,16469
2001,HB 1224,16421
2001,HB 1225,16450
2001,HB 1226,16562
2001,HB 1227,16530
2001,HB 1228,15839
2001,HB 1229,16443
2001,HB 1230,16441
2001,HB 1231,16444
2001,HB 1232,16442
2001,HB 1233,16384
2001,HB 1234,16266
2001,HB 1235,16552
2001,HB 1236,16329
2001,HB 1237,16590
2001,HB 1238,16588
2001,HB 1239,16310
2001,HB 1240,16627
2001,HB 1241,16342
2001,HB 1242,16482
2001,HB 1243,16418
2001,HB 1244,16432
2001,HB 1245,15906
2001,HB 1246,16623
2001,HB 1247,16591
2001,HB 1248,16524
2001,HB 1249,16535
2001,HB 1250,16595
2001,HB 1251,16504
2001,HB 1252,16429
2001,HB 1253,16475
2001,HB 1254,16502
2001,HB 1255,16518
2001,HB 1256,16009
2001,HB 1257,16513
2001,HB 1258,16608
2001,HB 1259,16634
2001,HB 1260,16635
2001,HB 1261,16622
2001,HB 1262,16607
2001,HB 1263,16251
2001,HB 1264,16594
2001,HB 1265,16603
2001,HB 1266,16534
2001,HB 1267,16428
2001,HB 1268,16598
2001,HB 1269,16449
2001,HB 1270,16628
2001,HB 1271,16575
2001,HB 1272,16609
2001,HB 1273,16549
2001,HB 1274,16587
2001,HB 1275,16586
2001,HB 1276,16593
2001,HB 1277,16639
2001,HB 1278,16646
2001,HB 1279,16638
2001,HB 1280,16642
2001,HB 1281,16612
2001,HB 1282,16613
2001,HB 1283,16632
2001,HB 1284,16360
2001,HB 1285,16569
2001,HB 1286,16585
2001,HB 1287,16507
2001,HB 1288,16306
2001,HB 1289,16581
2001,HB 1290,16369
2001,HB 1291,16637
2001,HB 1292,16540
2001,HB 1293,16644
2001,HB 1294,16629
2001,HB 1295,16619
2001,HB 1296,16625
2001,HB 1297,16657
2001,HB 1298,16715
2001,HC 1001,16295
2001,HC 1002,16467
2001,HC 1003,16390
2001,HC 1004,16514
2001,HC 1005,16519
2001,HC 1006,16235
2001,HC 1007,16041
2001,HC 1008,16652
2001,HC 1009,16651
2001,HC 1010,16649
2001,HC 1011,16650
2001,HC 1012,16391
2001,HC 1013,16678
2001,HC 1014,16676
2001,HC 1015,16682
2001,HC 1016,16677
2001,HC 1017,16679
